id,file,species,recordist,split
512593,Alauda_arvensis/XC512593.mp3,Alauda arvensis,Olivier SWIFT,train
528943,Alauda_arvensis/XC528943.mp3,Alauda arvensis,Tanguy Loïs,val
539168,Alauda_arvensis/XC539168.mp3,Alauda arvensis,Thomas Bergman,train
548103,Alauda_arvensis/XC548103.mp3,Alauda arvensis,Jarek Matusiak,test
548123,Alauda_arvensis/XC548123.mp3,Alauda arvensis,Stanislas Wroza,test
548651,Alauda_arvensis/XC548651.mp3,Alauda arvensis,Gerard OLIVIER,test
548685,Alauda_arvensis/XC548685.mp3,Alauda arvensis,Jarek Matusiak,val
548695,Alauda_arvensis/XC548695.mp3,Alauda arvensis,Jarek Matusiak,train
548700,Alauda_arvensis/XC548700.mp3,Alauda arvensis,Jarek Matusiak,train
553573,Alauda_arvensis/XC553573.mp3,Alauda arvensis,Peter Stronach,train
568881,Alauda_arvensis/XC568881.mp3,Alauda arvensis,Jarek Matusiak,train
594944,Alauda_arvensis/XC594944.mp3,Alauda arvensis,Jarek Matusiak,train
596998,Alauda_arvensis/XC596998.mp3,Alauda arvensis,Stanislas Wroza,train
618777,Alauda_arvensis/XC618777.mp3,Alauda arvensis,Jarek Matusiak,val
628155,Alauda_arvensis/XC628155.mp3,Alauda arvensis,Hans Matheve,train
652906,Alauda_arvensis/XC652906.mp3,Alauda arvensis,Paul Bourdin,train
653631,Alauda_arvensis/XC653631.mp3,Alauda arvensis,Uku Paal,train
676827,Alauda_arvensis/XC676827.mp3,Alauda arvensis,Thomas Bergman,train
691750,Alauda_arvensis/XC691750.mp3,Alauda arvensis,Joost van Bruggen,test
698275,Alauda_arvensis/XC698275.mp3,Alauda arvensis,"Olivier SWIFT, Hélène CARTAUD",test
737684,Alauda_arvensis/XC737684.mp3,Alauda arvensis,david m,train
740631,Alauda_arvensis/XC740631.mp3,Alauda arvensis,Lars Edenius,train
758200,Alauda_arvensis/XC758200.mp3,Alauda arvensis,Joost van Bruggen,val
793619,Alauda_arvensis/XC793619.mp3,Alauda arvensis,Lars Edenius,train
812079,Alauda_arvensis/XC812079.wav,Alauda arvensis,Paul Driver,train
843132,Alauda_arvensis/XC843132.wav,Alauda arvensis,Joost van Bruggen,train
845762,Alauda_arvensis/XC845762.mp3,Alauda arvensis,Jacobo Ramil Millarengo,train
880678,Alauda_arvensis/XC880678.mp3,Alauda arvensis,Olivier SWIFT,train
881733,Alauda_arvensis/XC881733.mp3,Alauda arvensis,Olivier SWIFT,train
881950,Alauda_arvensis/XC881950.mp3,Alauda arvensis,Olivier SWIFT,train
883757,Alauda_arvensis/XC883757.mp3,Alauda arvensis,Jarek Matusiak,val
884750,Alauda_arvensis/XC884750.mp3,Alauda arvensis,Olivier SWIFT,train
894564,Alauda_arvensis/XC894564.wav,Alauda arvensis,Sébastien Roques,train
895988,Alauda_arvensis/XC895988.mp3,Alauda arvensis,Thomas Bergman,test
911897,Alauda_arvensis/XC911897.mp3,Alauda arvensis,Lars Edenius,val
941838,Alauda_arvensis/XC941838.mp3,Alauda arvensis,Ulf Elman,train
971992,Alauda_arvensis/XC971992.mp3,Alauda arvensis,Bram Piot,train
974882,Alauda_arvensis/XC974882.mp3,Alauda arvensis,David Boyle,train
1002303,Alauda_arvensis/XC1002303.mp3,Alauda arvensis,Ding Li Yong,train
1002306,Alauda_arvensis/XC1002306.mp3,Alauda arvensis,Ding Li Yong,train
1010665,Alauda_arvensis/XC1010665.mp3,Alauda arvensis,Lars Edenius,train
1011618,Alauda_arvensis/XC1011618.mp3,Alauda arvensis,Ding Li Yong,train
1012349,Alauda_arvensis/XC1012349.mp3,Alauda arvensis,Ding Li Yong,train
1012350,Alauda_arvensis/XC1012350.mp3,Alauda arvensis,Ding Li Yong,train
1012426,Alauda_arvensis/XC1012426.wav,Alauda arvensis,Ding Li Yong,train
1033972,Alauda_arvensis/XC1033972.mp3,Alauda arvensis,Lars Edenius,test
1035141,Alauda_arvensis/XC1035141.mp3,Alauda arvensis,Lars Edenius,train
1062867,Alauda_arvensis/XC1062867.wav,Alauda arvensis,David Darrell-Lambert,train
1062924,Alauda_arvensis/XC1062924.wav,Alauda arvensis,David Darrell-Lambert,train
1062925,Alauda_arvensis/XC1062925.wav,Alauda arvensis,David Darrell-Lambert,train
1062928,Alauda_arvensis/XC1062928.wav,Alauda arvensis,David Darrell-Lambert,train
1062961,Alauda_arvensis/XC1062961.wav,Alauda arvensis,David Darrell-Lambert,test
1062965,Alauda_arvensis/XC1062965.wav,Alauda arvensis,David Darrell-Lambert,train
1062966,Alauda_arvensis/XC1062966.wav,Alauda arvensis,David Darrell-Lambert,test
1062968,Alauda_arvensis/XC1062968.wav,Alauda arvensis,David Darrell-Lambert,train
1067544,Alauda_arvensis/XC1067544.wav,Alauda arvensis,Pere Josa,train
1072456,Alauda_arvensis/XC1072456.wav,Alauda arvensis,Nelson Conceição,test
1073293,Alauda_arvensis/XC1073293.wav,Alauda arvensis,Adrien Peillon,train
1073818,Alauda_arvensis/XC1073818.wav,Alauda arvensis,Nelson Conceição,train
1075054,Alauda_arvensis/XC1075054.mp3,Alauda arvensis,Romuald Mikusek,train
1082326,Alauda_arvensis/XC1082326.wav,Alauda arvensis,Andrew Harrop,test
1082398,Alauda_arvensis/XC1082398.wav,Alauda arvensis,David Darrell-Lambert,train
1082681,Alauda_arvensis/XC1082681.wav,Alauda arvensis,Andrew McCafferty,train
1083209,Alauda_arvensis/XC1083209.mp3,Alauda arvensis,etienne.roland@gmail.com,val
1083556,Alauda_arvensis/XC1083556.mp3,Alauda arvensis,etienne.roland@gmail.com,train
1086323,Alauda_arvensis/XC1086323.wav,Alauda arvensis,Marc Maas,train
1086325,Alauda_arvensis/XC1086325.wav,Alauda arvensis,Marc Maas,train
1088568,Alauda_arvensis/XC1088568.wav,Alauda arvensis,David Darrell-Lambert,val
1088587,Alauda_arvensis/XC1088587.wav,Alauda arvensis,Petter Westberg,test
1089169,Alauda_arvensis/XC1089169.wav,Alauda arvensis,David Darrell-Lambert,test
1089399,Alauda_arvensis/XC1089399.wav,Alauda arvensis,David Darrell-Lambert,test
1091651,Alauda_arvensis/XC1091651.wav,Alauda arvensis,Grzegorz Michalski,train
1091664,Alauda_arvensis/XC1091664.wav,Alauda arvensis,Grzegorz Michalski,train
1091835,Alauda_arvensis/XC1091835.wav,Alauda arvensis,Noé Ferrari,train
1091999,Alauda_arvensis/XC1091999.wav,Alauda arvensis,João Ferreira Tomás,train
1092246,Alauda_arvensis/XC1092246.mp3,Alauda arvensis,Miika Silfverberg,test
1097143,Alauda_arvensis/XC1097143.mp3,Alauda arvensis,Zhang Jiaming,val
1097511,Alauda_arvensis/XC1097511.wav,Alauda arvensis,Norman Schiwora,train
1097597,Alauda_arvensis/XC1097597.wav,Alauda arvensis,Norman Schiwora,test
1099133,Alauda_arvensis/XC1099133.mp3,Alauda arvensis,Uku Paal,train
1100278,Alauda_arvensis/XC1100278.mp3,Alauda arvensis,Lucien Hueber,train
1101642,Alauda_arvensis/XC1101642.mp3,Alauda arvensis,Uku Paal,train
1102281,Alauda_arvensis/XC1102281.wav,Alauda arvensis,Paul Kelly,train
1105297,Alauda_arvensis/XC1105297.wav,Alauda arvensis,Clement Bruneau,train
1105387,Alauda_arvensis/XC1105387.mp3,Alauda arvensis,Eetu Paljakka,val
1105733,Alauda_arvensis/XC1105733.wav,Alauda arvensis,Denis Dujardin,train
1133337,Alauda_arvensis/XC1133337.mp3,Alauda arvensis,Bram Piot,train
1133357,Alauda_arvensis/XC1133357.wav,Alauda arvensis,Pere Josa,train
1135303,Alauda_arvensis/XC1135303.wav,Alauda arvensis,Niclas Backstrom,test
1135975,Alauda_arvensis/XC1135975.wav,Alauda arvensis,David Darrell-Lambert,train
1137642,Alauda_arvensis/XC1137642.wav,Alauda arvensis,Simon Gillings,train
1138307,Alauda_arvensis/XC1138307.wav,Alauda arvensis,Ding Li Yong,train
1138311,Alauda_arvensis/XC1138311.mp3,Alauda arvensis,Ding Li Yong,train
1142893,Alauda_arvensis/XC1142893.mp3,Alauda arvensis,Ding Li Yong,train
1142975,Alauda_arvensis/XC1142975.wav,Alauda arvensis,David Darrell-Lambert,val
1143020,Alauda_arvensis/XC1143020.wav,Alauda arvensis,David Darrell-Lambert,val
1143036,Alauda_arvensis/XC1143036.wav,Alauda arvensis,David Darrell-Lambert,train
1143346,Alauda_arvensis/XC1143346.wav,Alauda arvensis,David Darrell-Lambert,train
1143347,Alauda_arvensis/XC1143347.wav,Alauda arvensis,David Darrell-Lambert,train
1143348,Alauda_arvensis/XC1143348.wav,Alauda arvensis,David Darrell-Lambert,val
1143617,Alauda_arvensis/XC1143617.wav,Alauda arvensis,Dimitri,train
1144828,Alauda_arvensis/XC1144828.wav,Alauda arvensis,Rafael Costas,train
1145175,Alauda_arvensis/XC1145175.wav,Alauda arvensis,Ulf Elman,train
1145185,Alauda_arvensis/XC1145185.mp3,Alauda arvensis,Lea Gerbaix,test
1145327,Alauda_arvensis/XC1145327.wav,Alauda arvensis,Ulf Elman,val
1145455,Alauda_arvensis/XC1145455.wav,Alauda arvensis,David Darrell-Lambert,train
1145622,Alauda_arvensis/XC1145622.wav,Alauda arvensis,Manuel Grosselet,train
1147345,Alauda_arvensis/XC1147345.mp3,Alauda arvensis,Peter Boesman,train
1148352,Alauda_arvensis/XC1148352.mp3,Alauda arvensis,Luca Baghino,train
1149189,Alauda_arvensis/XC1149189.wav,Alauda arvensis,Clement Bruneau,train
1149191,Alauda_arvensis/XC1149191.wav,Alauda arvensis,Clement Bruneau,val
1149193,Alauda_arvensis/XC1149193.wav,Alauda arvensis,Clement Bruneau,train
1149897,Alauda_arvensis/XC1149897.wav,Alauda arvensis,Adrien Peillon,train
1149898,Alauda_arvensis/XC1149898.wav,Alauda arvensis,Adrien Peillon,test
1151849,Alauda_arvensis/XC1151849.wav,Alauda arvensis,Manuel Grosselet,train
1151850,Alauda_arvensis/XC1151850.wav,Alauda arvensis,Manuel Grosselet,train
1154537,Alauda_arvensis/XC1154537.wav,Alauda arvensis,David Darrell-Lambert,train
1155401,Alauda_arvensis/XC1155401.mp3,Alauda arvensis,Manuel Sánchez-Nivicela,val
1156541,Alauda_arvensis/XC1156541.wav,Alauda arvensis,Andrew Harrop,train
1161655,Alauda_arvensis/XC1161655.mp3,Alauda arvensis,Kent bird sounds,val
1163551,Alauda_arvensis/XC1163551.mp3,Alauda arvensis,Taras Vykhovanets,test
1164835,Alauda_arvensis/XC1164835.wav,Alauda arvensis,Zsombor Károlyi,train
1172581,Alauda_arvensis/XC1172581.wav,Alauda arvensis,Christian Kerihuel,train
1172702,Alauda_arvensis/XC1172702.mp3,Alauda arvensis,Lars Edenius,val
1173257,Alauda_arvensis/XC1173257.wav,Alauda arvensis,François Guibert,train
1176252,Alauda_arvensis/XC1176252.wav,Alauda arvensis,Adrien Peillon,val
27013,Anthus_trivialis/XC27013.mp3,Anthus trivialis,Patrik Åberg,train
27015,Anthus_trivialis/XC27015.mp3,Anthus trivialis,Patrik Åberg,train
27016,Anthus_trivialis/XC27016.mp3,Anthus trivialis,Patrik Åberg,val
30057,Anthus_trivialis/XC30057.mp3,Anthus trivialis,Ante Strand,train
35403,Anthus_trivialis/XC35403.mp3,Anthus trivialis,Herman van Oosten,train
42666,Anthus_trivialis/XC42666.mp3,Anthus trivialis,Patrik Åberg,val
57270,Anthus_trivialis/XC57270.mp3,Anthus trivialis,Daniel Kratzer,test
83705,Anthus_trivialis/XC83705.mp3,Anthus trivialis,Jelmer Poelstra,train
103779,Anthus_trivialis/XC103779.mp3,Anthus trivialis,Jarek Matusiak,train
103783,Anthus_trivialis/XC103783.mp3,Anthus trivialis,Jarek Matusiak,train
